date,message,channelusername,url,channeltitle,views,forwards,postauthor,"fwdfrom.from_name"
"Mar 20, 2026 @ 19:50:57.000","🇪🇹 — The Amhara-led FANO rebels launched a major offensive in the Gondar area of the Amhara region of Ethiopia.

More than 650 Ethiopian soldiers were killed, and many more were wounded or captured by the rebels.

The mayor of the town of Nefas-Mewcha was also captured by the rebels.",tabzlive,"t.me/tabzlive/75694","Tabz - Alternative Media","7,038",36,"Rayden Skahyv","-"
"Mar 19, 2026 @ 21:16:34.000","#ችሎት 

"" ከአማራ ፋኖ ኃይሎች ጋር በመሆን ከፍተኛ የአማራ ክልል መንግስት ባለስልጣናት ለመግደልና የፌዴራል መንግሥትን ስልጣን በኃይል ለመቆጣጠር አሲረዋል "" በሚል የሽብር ወንጀል ክስ የተመሰረተባቸው ሲሳይ አውግቸው (ዶ/ር) በስር ፍርድ ቤት ተፈቅዶላቸው የነበረው የዋስትና መብት በፌዴራል ጠቅላይ ፍርድ ቤት ውድቅ ተደረገ።

የፌዴራል ከፍተኛ ፍርድ ቤት የካቲት 16 ቀን 2018 ዓ.ም. የ100 ሺህ ብር የዋስትና መብት ፈቅዶላቸው ፤ ከዛም ከእስር ቤት እየወጡ እያለ በር ላይ ድጋሚ መያዛቸው ይታወሳል።

ትናንት መጋቢት 9 ቀን 2018 ዓ.ም. በዋለው ችሎት ጠቅላይ ፍርድ ቤቱ የስር ፍርድ ቤትን ውሳኔ በመሻር የዶ/ር ሲሳይን የዋስትና ጥያቄ ውድቅ ማድረጉን የተከሳሹ ጠበቃ አቶ ሰለሞን ገዛኸኝ ለሪፖርተር ጋዜጣ ገልጸዋል።

መጋቢት 10 ቀን 2018 ዓ/ም

@tikvahethiopia",tikvahethiopia,"t.me/tikvahethiopia/104167","TIKVAH-ETHIOPIA","256,438",30,"-","-"
"Mar 19, 2026 @ 20:07:58.000","🇸🇩🇪🇹⚡️ — The Sudanese army shot down an Ethiopian Bayraktar Akıncı drone that operated above the Northern Kordofan region of Sudan.

➡️ Ethiopia is accused of supporting the RSF rebels and hosting bases on its territory as they have close ties with the UAE, which is the RSF's main backer.

📝Turkish-made drones were supplied to Ethiopia during the Tigray War (2020–2022) to fight off the TPLF rebels; Turkey is, however, not aligned with Ethiopia or the UAE-backed RSF.",tabzlive,"t.me/tabzlive/75484","Tabz - Alternative Media","6,283",31,"Rayden Skahyv","-"
"Mar 19, 2026 @ 17:22:45.000","#Tigray 

የትግራይ ቴሌቪዥን የዜና ክፍል ዳይሬክተር ዮውሃንስ ብርሃነ እና አክቲቪስት ሰናይት መብርሃቱ  በቁጥጥር ስር መዋላቸውን ቲክቫህ ኢትዮጵያ አረጋግጧል።

በትግራይ ቴሌቪዥን የዜና ክፍል ዳይሬክተር ጋዜጠኛ ዮውሃንስ ብርሃነ ትላንት ከሰዓት በኋላ ሲቪል የለበሱ ሰዎች ከአንድ ምግብ ቤት አውጥተው ወስደውታል ሲሉ የቲክቫህ ኢትዮጵያ የመቐለ ቤተሰብ ምንጮች ገልጸዋል።

ምንጮቹ ጋዜጠኛው የት ፓሊስ ጣብያ እንደታሰረ አስመልክተው ያሉት ነገር የለም።

በሌላ በኩል፤ የህወሓት ቀንደኛ ደጋፊ የሆነችው አክቲቪስት ሰናይት መብራህቱ ከሌሎች 4 ተጠርጣሪዎች ጋር በቁጥጥር ስር ውላ ፍርድ ቤት ቀርባለች።

ሰናይትና አብሯዋት የተጠሩጠሩ ግለሰቦች ከመሬት ሽያጭ የተያያዘ የ16 ሚሊዮን ብር የማጭበርበር ክስ ቀርቦላቸዋል።

ተጠርጣሪዎች በህግ ቁጥጥር ካልዋሉ ሌሎች ግብረ አበሮቻቸው የወንጀል ድርጊቱ መፈፀማቸው ጠቅሶ ፓሊስ የ14 ቀናት ተጨማሪ የምርመራ ጊዜ ጠይቋል።

በመቐለ የሓድነት ክፍለ ከተማ ፍርድ ቤት ፓሊስ ያቀረበው ተጨማሪ የ14 ቀናት የምርመራ ቀን ቀጠሮ ተቀብሏል።

ቲክቫህ ኢትዮጵያ
መቐለ
መጋቢት 10 ቀን 2018 ዓ/ም

@tikvahethiopia  ",tikvahethiopia,"t.me/tikvahethiopia/104155","TIKVAH-ETHIOPIA","283,825",55,"-","-"
"Mar 19, 2026 @ 15:24:43.000","https://www.africanews.com/2026/03/19/un-mine-action-chiefs-for-ethiopia-and-sudan-call-for-more-funding/",JoCoIntegrityIntercepts,"t.me/JoCoIntegrityIntercepts/55436","JoCo Integrity Intercept, Eyes on the Truth",14,1,"-","-"
"Mar 19, 2026 @ 08:47:04.000","Ethiopian Renaissance Dam Can Be Seen as Symbol of Energy Sovereignty: Ethiopian Electric Power

The dam will help reduce the risk of power price increases and supply shortages, particularly during periods of political tension and conflict, Moges Mekonnen, the organization’s communications director, told Sputnik Africa, pointing to the current energy challenges linked to tensions in the Middle East.

The dam will also reduce Ethiopia’s dependence on oil and ease pressure on foreign exchange reserves, he emphasized.

👉 Western countries often promote systems that create market dependence, Mekonnen argued. According to him, these systems pressure developing nations to purchase energy—directly or indirectly—from Western countries or their allies. In this context, he described the Renaissance Dam as a turning point that could break this cycle of dependence.

Western-aligned institutions such as the International Monetary Fund and the World Bank are not willing to let Africa build huge projects, Mekonnen stated. These institutions impose political and economic conditions that influence how countries develop and utilize their natural resources, often limiting their autonomy, he noted.

☝️ In contrast, he highlighted Ethiopia’s approach as an example of self-reliance. The country mobilized its internal resources and population to construct the Grand Ethiopian Renaissance Dam, demonstrating what he described as true energy sovereignty.

""Since it is considered a great psychological and economic freedom that I can determine my own destiny, it is a practical demonstration of the principle that African problems are solved by African solutions.""

Countries that are dependent on foreign powers inevitably become the beneficiaries of foreign powers whenever geopolitical crises and tensions arise, Mekonnen concluded.

Subscribe to @sputnik_africa

🔸 Sputnik Africa | X 🔸","-","-","Sputnik Africa | Chat","3,932",14,"-","-"
"Mar 19, 2026 @ 08:47:01.000","Ethiopian Renaissance Dam Can Be Seen as Symbol of Energy Sovereignty: Ethiopian Electric Power

The dam will help reduce the risk of power price increases and supply shortages, particularly during periods of political tension and conflict, Moges Mekonnen, the organization’s communications director, told Sputnik Africa, pointing to the current energy challenges linked to tensions in the Middle East.

The dam will also reduce Ethiopia’s dependence on oil and ease pressure on foreign exchange reserves, he emphasized.

👉 Western countries often promote systems that create market dependence, Mekonnen argued. According to him, these systems pressure developing nations to purchase energy—directly or indirectly—from Western countries or their allies. In this context, he described the Renaissance Dam as a turning point that could break this cycle of dependence.

Western-aligned institutions such as the International Monetary Fund and the World Bank are not willing to let Africa build huge projects, Mekonnen stated. These institutions impose political and economic conditions that influence how countries develop and utilize their natural resources, often limiting their autonomy, he noted.

☝️ In contrast, he highlighted Ethiopia’s approach as an example of self-reliance. The country mobilized its internal resources and population to construct the Grand Ethiopian Renaissance Dam, demonstrating what he described as true energy sovereignty.

""Since it is considered a great psychological and economic freedom that I can determine my own destiny, it is a practical demonstration of the principle that African problems are solved by African solutions.""

Countries that are dependent on foreign powers inevitably become the beneficiaries of foreign powers whenever geopolitical crises and tensions arise, Mekonnen concluded.

Subscribe to @sputnik_africa

🔸 Sputnik Africa | X 🔸","sputnik_africa","t.me/sputnik_africa/62252","Sputnik Africa","1,565",9,"-","-"
"Mar 19, 2026 @ 00:03:09.000","Done. 
Verbiage I used...

I am writing to bring awareness and request diplomatic action concerning Israeli's civil defense authorities sealing of the Church of the Holy Sepulchre — along with the Western Wall and the Temple Mount — on February 28, following joint U.S.-Israeli strikes on Iran and the subsequent wave of Iranian missile and drone retaliation. Fragments from intercepted missiles have fallen in the vicinity of Jerusalem’s Old City. The closure is framed as a precaution against mass gatherings during a period of acute military threat. 

For the Greek Orthodox, Armenian Apostolic, Roman Catholic, Coptic, Syriac, and Ethiopian Orthodox communities whose liturgical lives center on the Holy Sepulchre, there is no substitute building. There is only that church. And for the global Orthodox world connected to it — in Greece, Russia, Serbia, Romania, Bulgaria, and the millions-strong diaspora in America and Australia — the disruption of the Holy Fire ceremony would be without modern precedent.

Since 1988, the flame has departed Jerusalem for Athens, Sofia, Belgrade, and Bucharest every single year — through wars, political crises, and a global pandemic. In 2020 and 2021, when COVID-19 made large gatherings impossible, a minimal delegation still entered the church, the Patriarch still knelt before the tomb, and the flame still flew. This year, for the first time, even that may not happen — not because the church is physically inaccessible, but because the keys are in someone else’s hands.

Request
The U.S. Ambassador to Israel should formally request that a clergy-only Holy Fire ceremony be permitted on Holy Saturday, April 11, under whatever security conditions Israeli authorities require. The COVID pandemic proved this is workable — the Patriarch entered, the flame was lit, the lamps flew to Athens. That precedent exists and it should be invoked immediately, through direct diplomatic channels, before Holy Week begins on March 29.

Additionally, it would carry significant weight,Mr President, for you, as well as the White House Faith Office, to speak publicly expressing concern about Christian access to Easter services in Jerusalem — signaling to the world’s Orthodox Christians, and to Israel, that American religious freedom advocacy is consistently applied.

Thank you for assuring our great nation continues to support religious freedom and all you and your administration have done to  advance freedom in all its forms.",toresaysPlus,"t.me/toresaysPlus/6250982","ToreSays®+","-","-","-","-"
"Mar 18, 2026 @ 23:18:45.000","ethiopia - somalia war. taiwan, japan south korea - north korea",ClashReport,"t.me/ClashReport/486010","Clash Report","-","-","-","-"
"Mar 18, 2026 @ 21:36:12.000","Israel Land of promise. Give it up. Can you need support from Ethiopia you are welcome",presstv,"t.me/presstv/730657","Press TV","-","-","-","-"
